"","mean","median","sd","max","min","day","ais1"
"181",4.1304347826087,4,2.28242988194772,9,1,1,"AIS D"
"182",4.24137931034483,4,2.1490059564797,9,1,2,"AIS D"
"183",5.13333333333333,5,2.44573285446352,10,1,3,"AIS D"
"184",5.7,5.5,2.90243655073362,15,1,4,"AIS D"
"185",5.83333333333333,5,3.4549647768386,18,1,5,"AIS D"
"186",6.28571428571429,5.5,3.24159474764143,14,1,6,"AIS D"
"187",6,6,2.40192230707631,11,2,7,"AIS D"
"188",5.59259259259259,5,2.17077191622029,10,2,8,"AIS D"
"189",5.61538461538461,5,2.78678198755372,12,1,9,"AIS D"
"190",4.92592592592593,5,2.61542651214976,10,1,10,"AIS D"
"191",4.78571428571429,4.5,2.51450816716735,10,1,11,"AIS D"
"192",5.10714285714286,5,2.43947908395588,10,1,12,"AIS D"
"193",4.85714285714286,5,2.28868854108532,9,1,13,"AIS D"
"194",4.39285714285714,4.5,2.19998797495511,10,1,14,"AIS D"
"195",4.10714285714286,4,2.00627323042807,9,1,15,"AIS D"
"196",4,4,1.86587284708296,9,1,16,"AIS D"
"197",4.35714285714286,4,2.62769136406122,13,1,17,"AIS D"
"198",4.10714285714286,4,2.2826119819885,9,1,18,"AIS D"
"199",4,4,2.1483446221183,10,1,19,"AIS D"
"200",3.73076923076923,3,1.99113419553163,8,1,20,"AIS D"
"201",3.92,4,1.80092568789868,8,1,21,"AIS D"
"202",3.88,3,1.76351920885484,8,1,22,"AIS D"
"203",3.72,3,1.86010752377383,8,1,23,"AIS D"
"204",3.70833333333333,3,1.89917983823834,8,1,24,"AIS D"
"205",3.65217391304348,3,1.77376578478911,7,1,25,"AIS D"
"206",3.65217391304348,3,1.77376578478911,7,1,26,"AIS D"
"207",3.65217391304348,3,1.69514535853456,8,1,27,"AIS D"
"208",3.39130434782609,3,1.40580389278883,6,1,28,"AIS D"
"209",3.68181818181818,3.5,1.58524036442018,8,1,29,"AIS D"
"210",3.34782608695652,3,1.36876505893497,6,1,30,"AIS D"
"211",3.38095238095238,4,1.32197543381829,5,1,31,"AIS D"
"212",3.36842105263158,3,1.38285237887288,6,1,32,"AIS D"
"213",3.23529411764706,3,1.39326109203847,6,1,33,"AIS D"
"214",2.94117647058824,3,1.47777654921567,6,1,34,"AIS D"
"215",2.88235294117647,3,1.65387246111877,6,1,35,"AIS D"
"216",3.0625,3,1.91376592090046,8,1,36,"AIS D"
"217",2.93333333333333,3,1.75119007154183,7,1,37,"AIS D"
"218",3,3,1.96116135138184,8,1,38,"AIS D"
"219",2.78571428571429,2.5,2.08210586550368,8,1,39,"AIS D"
"220",3.14285714285714,3,2.07019667802706,8,1,40,"AIS D"
"221",2.92857142857143,2,2.20014984504677,8,1,41,"AIS D"
"222",3.33333333333333,2.5,2.42462118253303,9,1,42,"AIS D"
"223",3.41666666666667,2.5,2.64431923988467,10,1,43,"AIS D"
"224",3.16666666666667,2.5,2.16724933890166,8,1,44,"AIS D"
"225",3.54545454545455,3,2.423371055519,9,1,45,"AIS D"
"226",3.54545454545455,3,2.423371055519,9,1,46,"AIS D"
"227",3.36363636363636,3,2.29227953237502,9,1,47,"AIS D"
"228",3.3,2.5,2.40601099101581,9,1,48,"AIS D"
"229",3.2,2.5,2.61618891604648,9,1,49,"AIS D"
"230",3.5,2.5,2.99072640748773,10,1,50,"AIS D"
"231",3.2,2.5,2.34757558155453,7,1,51,"AIS D"
"232",3.1,2.5,2.28278582243519,7,1,52,"AIS D"
"233",2.63636363636364,1,2.29227953237502,7,1,53,"AIS D"
"234",2.6,1,2.41292814278051,7,1,54,"AIS D"
"235",2.4,1,2.17050941281329,7,1,55,"AIS D"
"236",2.3,1,2.11081869319834,7,1,56,"AIS D"
"237",2.22222222222222,1,1.98606254796883,6,1,57,"AIS D"
"238",1.875,1,1.80772153354911,6,1,58,"AIS D"
"239",2.2,1,2.16794833886788,6,1,59,"AIS D"
"240",1.2,1,0.447213595499958,2,1,60,"AIS D"
"241",3.90740740740741,3,3.34928051140764,17,1,1,"Unknown"
"242",5.06849315068493,4,3.36785773948732,18,1,2,"Unknown"
"243",5.7037037037037,5,3.16798218289041,18,1,3,"Unknown"
"244",6.02439024390244,6,2.99372021650629,17,1,4,"Unknown"
"245",6.35365853658537,6,3.32358556648776,20,1,5,"Unknown"
"246",6.32926829268293,5.5,3.61770296827097,21,1,6,"Unknown"
"247",6.44444444444444,6,3.66060104354463,22,1,7,"Unknown"
"248",6.6219512195122,6,3.57853768293815,21,1,8,"Unknown"
