"","mean","median","sd","max","min","day","ais1"
"129",6.71724137931034,6,4.08367931914459,25,1,9,"AIS C"
"130",6.63829787234043,6,4.03958377584459,26,1,10,"AIS C"
"131",6.83687943262411,6,4.16726034271092,25,1,11,"AIS C"
"132",6.70921985815603,6,4.0294257072055,25,1,12,"AIS C"
"133",6.53900709219858,6,3.99377682060559,26,1,13,"AIS C"
"134",6.54347826086957,6,4.16295719782354,30,1,14,"AIS C"
"135",6.36231884057971,6,4.00171866177067,29,1,15,"AIS C"
"136",6.76296296296296,6,4.43225525863781,30,1,16,"AIS C"
"137",6.42537313432836,6,4.09543458575401,29,1,17,"AIS C"
"138",6.07518796992481,6,3.93050243559495,30,1,18,"AIS C"
"139",5.97692307692308,6,3.81442668356196,29,1,19,"AIS C"
"140",6.03076923076923,5,4.02692192361497,30,1,20,"AIS C"
"141",5.85384615384615,5,4.26107592494705,34,1,21,"AIS C"
"142",5.89922480620155,5,4.13983121870685,34,1,22,"AIS C"
"143",5.74615384615385,5,4.65276701612927,35,1,23,"AIS C"
"144",5.63076923076923,5,4.31355976582097,35,1,24,"AIS C"
"145",5.57364341085271,5,4.18661407381917,35,1,25,"AIS C"
"146",5.51968503937008,5,4.25730072038869,38,1,26,"AIS C"
"147",5.456,5,3.35651508984946,16,1,27,"AIS C"
"148",5.30327868852459,5,3.36459284745255,15,1,28,"AIS C"
"149",5.1900826446281,5,3.26933747005612,16,1,29,"AIS C"
"150",5.20661157024793,5,3.18830507577276,15,1,30,"AIS C"
"151",5.07438016528926,5,3.17060795762211,15,1,31,"AIS C"
"152",4.89075630252101,4,3.15634930712411,15,1,32,"AIS C"
"153",4.74576271186441,4,3.00480083296334,15,1,33,"AIS C"
"154",4.62068965517241,4,2.90623070514786,14,1,34,"AIS C"
"155",4.55357142857143,4,3.02791601902619,16,1,35,"AIS C"
"156",4.47706422018349,4,2.93635050093753,14,1,36,"AIS C"
"157",4.22727272727273,4,2.8755824010313,13,1,37,"AIS C"
"158",4.18181818181818,3,3.3515211339917,19,1,38,"AIS C"
"159",3.92660550458716,3,2.8077486104705,13,1,39,"AIS C"
"160",3.86792452830189,3,2.79821532136574,13,1,40,"AIS C"
"161",3.79411764705882,3,2.76591071530374,14,1,41,"AIS C"
"162",3.67326732673267,3,2.67622462021068,14,1,42,"AIS C"
"163",3.51515151515152,3,2.47173258395904,13,1,43,"AIS C"
"164",3.51020408163265,3,2.43786664367728,13,1,44,"AIS C"
"165",3.41489361702128,3,2.4947668862076,13,1,45,"AIS C"
"166",3.45652173913043,3,2.49576803778382,13,1,46,"AIS C"
"167",3.31111111111111,3,2.45702132830391,13,1,47,"AIS C"
"168",3.05494505494505,2,2.25764202143464,12,1,48,"AIS C"
"169",3.07865168539326,3,2.19101843847851,12,1,49,"AIS C"
"170",3.05681818181818,3,2.15149215552783,12,1,50,"AIS C"
"171",3.05747126436782,3,2.28928912414577,12,1,51,"AIS C"
"172",2.96385542168675,3,2.15523063749414,12,1,52,"AIS C"
"173",2.98666666666667,3,2.159162333402,12,1,53,"AIS C"
"174",2.82191780821918,2,2.02307841442898,12,1,54,"AIS C"
"175",2.72727272727273,2,2.19471711543498,12,1,55,"AIS C"
"176",2.46031746031746,2,2.06994932792426,12,1,56,"AIS C"
"177",2.4,2,2.10889962471395,12,1,57,"AIS C"
"178",2.39622641509434,1,2.20436300446244,12,1,58,"AIS C"
"179",2.34285714285714,1,2.42466319241223,12,1,59,"AIS C"
"180",2.42307692307692,1.5,2.43594871740892,12,1,60,"AIS C"
"181",4.17391304347826,4,2.34815544461921,9,1,1,"AIS D"
"182",4.31034482758621,4,2.23771963448542,9,1,2,"AIS D"
"183",5.33333333333333,5,2.60415229881094,10,1,3,"AIS D"
"184",6.06666666666667,5.5,3.51286633464148,19,1,4,"AIS D"
"185",6.1,5,4.07134646879451,22,1,5,"AIS D"
"186",6.60714285714286,6,3.45703025746929,14,1,6,"AIS D"
"187",6.40740740740741,6,2.54587538608658,11,2,7,"AIS D"
"188",5.88888888888889,5,2.40725399467356,12,2,8,"AIS D"
"189",5.96153846153846,5.5,3.18095292930618,15,1,9,"AIS D"
"190",5.40740740740741,6,3.0033219973794,13,1,10,"AIS D"
"191",5.25,5,2.86259400621961,13,1,11,"AIS D"
"192",5.53571428571429,5.5,2.67335470838147,11,1,12,"AIS D"
"193",5.21428571428571,5,2.36262789749266,9,1,13,"AIS D"
"194",4.67857142857143,5,2.21198036674315,10,1,14,"AIS D"
"195",4.39285714285714,4,2.04286084285749,9,1,15,"AIS D"
"196",4.32142857142857,4,2.10912605085915,11,1,16,"AIS D"
"197",4.71428571428571,4,2.83962886016678,14,1,17,"AIS D"
"198",4.39285714285714,4,2.52893310419684,11,1,18,"AIS D"
"199",4.2962962962963,4,2.35036518954322,10,1,19,"AIS D"
"200",4.03846153846154,4,2.30617899098521,10,1,20,"AIS D"
"201",4.28,4,2.24573670169353,11,1,21,"AIS D"
"202",4.32,4,2.37557010701291,12,1,22,"AIS D"
"203",4.12,4,2.45492701860293,12,1,23,"AIS D"
"204",4.125,3.5,2.40131304661139,11,1,24,"AIS D"
"205",4.08695652173913,4,2.27462371470058,10,1,25,"AIS D"
"206",4.17391304347826,4,2.28934635198949,11,1,26,"AIS D"
"207",4.1304347826087,4,2.13848603681302,10,1,27,"AIS D"
"208",3.78260869565217,4,1.83294402382244,9,1,28,"AIS D"
"209",4.04545454545455,4,2.0811460379245,11,1,29,"AIS D"
"210",3.73913043478261,4,1.684620035507,8,1,30,"AIS D"
"211",3.80952380952381,4,1.86061945649957,9,1,31,"AIS D"
"212",3.84210526315789,4,1.92247403955126,9,1,32,"AIS D"
"213",3.64705882352941,4,1.86886250399101,8,1,33,"AIS D"
"214",3.29411764705882,3,1.86295148495448,8,1,34,"AIS D"
"215",3.23529411764706,3,2.10740989619681,9,1,35,"AIS D"
"216",3.4375,3,2.47571538482651,11,1,36,"AIS D"
"217",3.33333333333333,3,2.31968799215592,10,1,37,"AIS D"
"218",3.28571428571429,3,2.39963367167611,10,1,38,"AIS D"
"219",3.07142857142857,2.5,2.52569215842329,10,1,39,"AIS D"
"220",3.42857142857143,3,2.50274574492421,10,1,40,"AIS D"
"221",3.21428571428571,2,2.69411242494476,10,1,41,"AIS D"
"222",3.58333333333333,2.5,2.90636709604442,11,1,42,"AIS D"
"223",3.66666666666667,2.5,3.14305390962164,12,1,43,"AIS D"
"224",3.41666666666667,2.5,2.64431923988467,10,1,44,"AIS D"
"225",3.90909090909091,3,2.98176274893042,11,1,45,"AIS D"
"226",3.81818181818182,3,2.92636914343293,11,1,46,"AIS D"
"227",3.63636363636364,3,2.83805310988809,11,1,47,"AIS D"
"228",3.6,2.5,2.98886823619465,11,1,48,"AIS D"
"229",3.5,2.5,3.20589734361189,11,1,49,"AIS D"
"230",3.8,2.5,3.55277669185979,12,1,50,"AIS D"
"231",3.5,2.5,2.83823106098773,9,1,51,"AIS D"
"232",3.4,2.5,2.75680975041804,9,1,52,"AIS D"
"233",2.90909090909091,1,2.7001683449202,9,1,53,"AIS D"
"234",2.8,1,2.85968141193696,9,1,54,"AIS D"
"235",2.6,1,2.67498701969852,9,1,55,"AIS D"
"236",2.4,1,2.36643191323985,8,1,56,"AIS D"
"237",2.33333333333333,1,2.23606797749979,7,1,57,"AIS D"
"238",2,1,2.1380899352994,7,1,58,"AIS D"
"239",2.2,1,2.16794833886788,6,1,59,"AIS D"
"240",1.2,1,0.447213595499958,2,1,60,"AIS D"
